step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	36.0	2.1036377	94.0	75.9	0.61526332	3.33e-06	15274	211.3	36.135712
2	57.0	1.77758789	468.0	75.9	0.66208482	6.67e-06	7151	126.6	28.252368
3	79.0	2.56640625	253.0	75.9	0.5421745	1e-05	4380	83.5	26.230498
4	101.0	1.84344482	51.25	75.9	0.6187884	9.97e-06	11693	231.5	25.255156
5	124.0	1.75708008	39.75	76.51	0.60280036	9.87e-06	32189	648.6	24.814802
6	147.0	1.47180176	25.25	76.51	0.65941432	9.7e-06	17794	363.5	24.478704
7	169.0	1.76516724	22.875	76.51	0.59313234	9.47e-06	3581	74.3	24.085659
8	192.0	1.33410645	7.4375	76.51	0.67220101	9.18e-06	21002	437.1	24.025686
9	214.0	0.98738861	5.96875	76.51	0.73716536	8.83e-06	3860	81.3	23.749676
10	236.0	1.40710449	6.21875	76.51	0.66227774	8.43e-06	4334	91.9	23.573668
11	256.0	1.21960449	12.0625	76.51	0.68879009	7.99e-06	6437	138.4	23.261923
12	281.0	1.43484497	10.8125	76.51	0.6398859	7.5e-06	11108	237.1	23.42922
13	303.0	1.67247772	9.6875	76.51	0.60355365	6.98e-06	4657	99.9	23.305878
14	325.0	1.77456665	16.375	76.51	0.59597295	6.43e-06	11846	255.1	23.221088
15	348.0	1.71739197	110.0	76.51	0.600911	5.87e-06	10192	219.9	23.169597
16	369.0	1.36962891	10.0	76.51	0.63692469	5.29e-06	5658	122.8	23.043644
17	392.0	1.31555176	384.0	76.51	0.65715194	4.71e-06	15219	330.3	23.04136
18	414.0	1.56234741	21.5	76.51	0.61253226	4.13e-06	21713	472.0	23.000554
19	439.0	1.49145508	14.5	76.51	0.6266803	3.57e-06	12543	271.5	23.098231
20	463.0	1.68533325	16.875	76.51	0.59902777	3.02e-06	16827	363.7	23.131974
21	485.0	1.30902863	11.4375	76.51	0.67485398	2.5e-06	5159	111.7	23.093039
22	509.0	1.44950867	103.0	76.51	0.62844599	2.01e-06	23396	505.6	23.138653
23	533.0	1.29425049	9.1875	76.51	0.66258295	1.57e-06	11015	237.9	23.152852
24	554.0	1.12664795	4.6875	76.51	0.69671353	1.17e-06	4889	105.8	23.101333
25	578.0	1.40619659	22.5	76.51	0.63902095	8.2e-07	11318	244.9	23.109791
26	600.0	1.3603363	258.0	76.51	0.65072019	5.3e-07	5783	125.2	23.089132
27	622.0	1.61054993	84.5	76.51	0.60743108	3e-07	5712	124.1	23.021774
28	645.0	1.35647583	12.0	76.58	0.66211575	1.3e-07	11410	247.8	23.022666
29	668.0	1.34835815	17.125	76.58	0.65327921	3e-08	13723	298.0	23.02617
30	692.0	1.18139648	5.125	76.58	0.69756663	0.0	5083	110.1	23.079695
30	692.0	None	None	76.58	None	None	5083	110.1	23.082679
