step	fsdp2_gbs4_loss	ds_gbs64_loss	loss_abs	loss_pct	fsdp2_gbs4_grad	ds_gbs64_grad	grad_abs	grad_pct	fsdp2_gbs4_lr	ds_gbs64_lr	fsdp2_gbs4_tok	ds_gbs64_tok
1	1.92089844	2.02941513	-0.10851668999999986	-0.05347190350354778	32.75	66.47613525	-33.72613525	-0.5073419975930384	4e-08	1.33e-06	919	38498
2	2.71411133	2.03606415	0.6780471800000001	0.3330185740955166	69.0	49.21046448	19.78953552	0.40214079930179925	8e-08	2.67e-06	2166	74566
3	1.60546875	1.75942993	-0.15396118000000003	-0.08750628676641872	172.0	36.51027679	135.48972321	3.71100235666003	1.3e-07	4e-06	11968	25739
4	1.91992188	2.26591492	-0.3459930400000002	-0.15269462985838858	44.25	62.9544487	-18.7044487	-0.29711083309033887	1.7e-07	5.33e-06	221	32353
5	1.95141602	1.96479797	-0.013381950000000087	-0.0068108529244867285	57.5	45.04483032	12.455169679999997	0.27650608497175033	2.1e-07	6.67e-06	670	66302
6	1.22607422	1.58998871	-0.36391449	-0.2288786629183046	18.5	24.37308884	-5.873088840000001	-0.24096612778768342	2.5e-07	8e-06	1097	44459
7	2.44067383	1.4672966	0.9733772300000001	0.663381370883024	74.0	7.53219128	66.46780872	8.824498243491234	3e-07	9.33e-06	5148	34223
8	1.40380859	1.28025055	0.12355803999999981	0.0965108275095057	31.125	11.86321068	19.26178932	1.6236573588356773	3.4e-07	1.067e-05	236	28101
9	2.859375	1.66692352	1.19245148	0.7153606423406875	66.0	37.98218918	28.01781082	0.7376565549505801	3.8e-07	1.2e-05	778	66587
10	2.90917969	1.6144104	1.2947692900000003	0.8020075254718381	57.25	18.92869186	38.32130814	2.0245090587047043	4.2e-07	1.333e-05	1289	67200
11	2.46777344	1.62076902	0.8470044200000002	0.5225941571859513	64.0	14.53076172	49.46923828	3.404449073850755	4.7e-07	1.467e-05	929	39476
12	1.91455078	1.56233835	0.3522124299999998	0.22543927824597007	47.5	8.68418121	38.81581879	4.469715434461783	5.1e-07	1.6e-05	1384	59876
13	2.2890625	1.46458244	0.82448006	0.5629454768008826	53.0	6.256814	46.743186	7.47076483334809	5.5e-07	1.733e-05	5735	58481
14	2.06225586	1.34105778	0.72119808	0.5377830029068545	99.0	28.1791954	70.8208046	2.5132301896739038	5.9e-07	1.867e-05	4836	30234
15	1.50878906	1.28346062	0.22532843999999996	0.17556318946505733	115.5	5.18581867	110.31418133	21.2722789495453	6.4e-07	2e-05	1036	52817
16	1.65014648	1.37787437	0.27227211000000007	0.19760300062769878	36.0	5.45783424	30.54216576	5.596022967527866	6.8e-07	2e-05	86	20663
17	2.359375	1.3480525	1.0113225	0.7502100252030243	68.5	4.21213388	64.28786612	15.262541018757934	7.2e-07	2e-05	9609	62863
18	1.98388672	1.35613251	0.6277542100000002	0.4629003474004176	49.25	3.83783865	45.41216135	11.832743763211619	7.6e-07	1.999e-05	13702	37594
19	1.12475586	1.47541285	-0.35065699000000006	-0.23766702994351718	44.25	17.51921844	26.73078156	1.5257976063000673	8.1e-07	1.999e-05	1351	44143
20	1.52685547	1.41303205	0.11382342000000012	0.08055261025395717	46.5	3.31063557	43.18936443	13.045641393262743	8.5e-07	1.998e-05	7527	54001
21	1.90136719	1.31683636	0.5845308300000001	0.44389025679697974	57.0	4.49000168	52.50999832	11.694872755593268	8.9e-07	1.998e-05	698	35412
22	1.97900391	1.19665051	0.7823534000000001	0.6537860415068056	42.5	7.683146	34.816854	4.531588232216334	9.3e-07	1.997e-05	985	36246
23	2.53027344	1.37360001	1.1566734300000001	0.842074418738538	53.25	5.94808769	47.30191231	7.952457121559349	9.7e-07	1.996e-05	3550	43318
24	1.58154297	1.24372864	0.33781433000000005	0.27161417622416417	41.0	17.09291267	23.90708733	1.3986549742314924	1.02e-06	1.995e-05	12561	62947
25	2.3684082	1.40783882	0.9605693800000001	0.6823006770050567	162.0	9.86078453	152.13921547	15.428713101593349	1.06e-06	1.994e-05	851	86358
26	1.96777344	1.22162724	0.7461462000000001	0.6107805847551337	50.25	6.80848694	43.44151306	6.380494439194738	1.1e-06	1.992e-05	1131	35900
27	2.82666016	1.24427605	1.5823841099999998	1.2717307465654424	41.5	9.05325794	32.44674206	3.5839851548513373	1.14e-06	1.991e-05	842	55389
28	2.01660156	1.21537805	0.8012235099999998	0.6592380946817328	46.0	6.1642251	39.8357749	6.462414051037817	1.19e-06	1.989e-05	757	54815
29	0.99804688	1.27944183	-0.2813949499999999	-0.219935712122215	20.0	6.6708312	13.3291688	1.998127129944466	1.23e-06	1.988e-05	576	67681
30	2.46166992	1.29690695	1.16476297	0.8981083569642372	62.75	48.17294312	14.57705688	0.3025984284100764	1.27e-06	1.986e-05	13587	36269
31	1.60449219	1.35126173	0.25323045999999994	0.18740296892741862	39.5	5.17275524	34.32724476	6.636162580157185	1.31e-06	1.984e-05	5902	32066
32	1.35839844	1.2462244	0.11217403999999997	0.09001110875376857	30.375	26.07061958	4.304380420000001	0.1651046461244095	1.36e-06	1.982e-05	937	31464
33	1.19091797	1.31250167	-0.12158369999999996	-0.09263508213288593	488.0	20.6859417	467.3140583	22.590900867713458	1.4e-06	1.98e-05	920	53310
34	1.78527832	1.26147509	0.52380323	0.4152307359473899	46.5	18.75597954	27.74402046	1.4792093583185901	1.44e-06	1.977e-05	224	64590
35	0.97314453	1.28464127	-0.31149674000000005	-0.2424776062192055	12.1875	251.05889893	-238.87139893	-0.9514556143919116	1.48e-06	1.975e-05	468	52403
36	1.50195312	1.27019119	0.23176193	0.18246224019236032	213.0	48.3645134	164.6354866	3.4040554742767246	1.53e-06	1.972e-05	2248	18426
37	2.66601562	1.3981781	1.26783752	0.9067782709513188	57.0	14.11616802	42.88383198	3.0379230340161394	1.57e-06	1.969e-05	2017	32810
38	1.796875	1.23910141	0.55777359	0.45014361657453045	42.75	11.111063	31.638937	2.8475166597471366	1.61e-06	1.967e-05	323	36362
39	2.23779297	1.27306843	0.9647245400000002	0.7577947243574332	40.75	5.57978296	35.17021704	6.303151447310057	1.65e-06	1.964e-05	1244	43573
40	0.94091797	1.39654529	-0.45562731999999995	-0.3262531643352576	25.5	9.43410301	16.06589699	1.7029596743824402	1.69e-06	1.961e-05	750	29449
