step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	74.0	2.02410889	102.5	76.62	0.60647069	3.33e-06	261444	1769.6	73.872375
2	134.0	2.0230484	118.5	76.62	0.61116209	6.67e-06	261771	1954.4	66.968288
3	197.0	1.97496033	184.0	76.62	0.61429405	1e-05	261569	1991.9	65.6586
4	257.0	2.00973511	48.5	76.62	0.5954168	9.97e-06	261438	2034.0	64.267967
5	319.0	1.59597778	35.0	76.62	0.63703684	9.87e-06	261371	2050.2	63.742758
6	380.0	1.47770691	20.75	76.62	0.63687975	9.7e-06	261328	2064.6	63.28862
7	444.0	1.46098328	8.6875	76.62	0.6381657	9.47e-06	261261	2057.6	63.48712
8	510.0	1.42633057	15.625	76.62	0.64569954	9.18e-06	261514	2051.7	63.731509
9	573.0	1.45726776	7.5	76.62	0.64104735	8.83e-06	261136	2052.2	63.624606
10	634.0	1.44544983	9.9375	76.62	0.63572208	8.43e-06	261481	2061.3	63.427368
11	699.0	1.43013	23.0	76.62	0.6456824	7.99e-06	261577	2058.1	63.547155
12	767.0	1.44416809	9.375	76.62	0.63931693	7.5e-06	260952	2042.3	63.885299
13	828.0	1.37556458	11.0	76.62	0.64928264	6.98e-06	261657	2054.8	63.671124
14	890.0	1.35001373	6.5	76.62	0.65222739	6.43e-06	261490	2057.8	63.53649
15	950.0	1.42779541	8.625	76.62	0.64000758	5.87e-06	261153	2061.9	63.327467
16	1012.0	1.37461853	12.1875	76.62	0.65398462	5.29e-06	261383	2067.3	63.218806
17	1074.0	1.36019135	9.25	76.62	0.65508514	4.71e-06	261594	2071.2	63.150594
18	1134.0	1.36515808	6.125	76.62	0.64562275	4.13e-06	261511	2075.0	63.01411
19	1198.0	1.43943787	5.59375	76.62	0.63586758	3.57e-06	261590	2075.2	63.026705
20	1261.0	1.29954529	3.703125	76.62	0.6650471	3.02e-06	261381	2073.5	63.028032
21	1322.0	1.45349121	5.78125	76.62	0.633564	2.5e-06	261510	2077.7	62.93127
22	1382.0	1.37775421	10.125	76.62	0.64780292	2.01e-06	261466	2080.4	62.84031
23	1443.0	1.41671753	27.375	76.62	0.64107323	1.57e-06	261502	2083.4	62.757246
24	1506.0	1.34315491	6.0625	76.62	0.65006176	1.17e-06	261568	2084.8	62.733455
25	1567.0	1.35173798	7.5	76.62	0.65527125	8.2e-07	261449	2085.0	62.69755
26	1628.0	1.373703	23.125	76.62	0.64188729	5.3e-07	261735	2090.1	62.613599
27	1690.0	1.41299438	86.5	76.62	0.64192399	3e-07	261450	2088.5	62.593154
28	1752.0	1.41075134	9.125	76.62	0.64245349	1.3e-07	261595	2091.0	62.553797
29	1812.0	1.33195496	3.03125	76.62	0.65495384	3e-08	261610	2093.5	62.48131
30	1874.0	1.34980774	6.65625	76.62	0.6545212	0.0	261191	2090.6	62.467326
30	1874.0	None	None	76.62	None	None	261191	2090.5	62.471493
