step	fsdp2_fa3_loss	ds_baseline_loss	loss_abs	loss_pct	fsdp2_fa3_grad	ds_baseline_grad	grad_abs	grad_pct	fsdp2_fa3_lr	ds_baseline_lr	fsdp2_fa3_tok	ds_baseline_tok
1	2.02941513	2.02941513	0.0	0.0	153.0	66.47613525	86.52386475	1.301577843305805	1.33e-06	1.33e-06	38498	38498
2	2.03444672	2.03606415	-0.0016174300000000308	-0.0007943904910854752	44.75	49.21046448	-4.460464479999999	-0.09064056856876063	2.67e-06	2.67e-06	74566	74566
3	1.75928879	1.75942993	-0.00014113999999998406	-8.021916507921634e-05	38.25	36.51027679	1.739723210000001	0.04765023338515208	4e-06	4e-06	25739	25739
4	2.30446053	2.26591492	0.0385456099999999	0.01701105794387015	1048.0	62.9544487	985.0455512999999	15.646956992572312	5.33e-06	5.33e-06	32353	32353
5	2.13169861	1.96479797	0.16690063999999993	0.08494544607046796	93.0	45.04483032	47.95516968	1.0646098417803962	6.67e-06	6.67e-06	66302	66302
6	1.7774353	1.58998871	0.18744658999999997	0.1178917742126609	1184.0	24.37308884	1159.62691116	47.57816782158826	8e-06	8e-06	44459	44459
7	1.82707214	1.4672966	0.35977554	0.24519619278065524	36.75	7.53219128	29.21780872	3.8790582493013908	9.33e-06	9.33e-06	34223	34223
8	1.5177536	1.28025055	0.23750304999999994	0.18551294510281593	46.5	11.86321068	34.63678932	2.9196808734412527	1.067e-05	1.067e-05	28101	28101
9	1.69618988	1.66692352	0.029266359999999825	0.0175571102386268	39.0	37.98218918	1.0178108200000011	0.026797055198070106	1.2e-05	1.2e-05	66587	66587
10	1.55992889	1.6144104	-0.05448151000000001	-0.033747001382052555	22.625	18.92869186	3.6963081399999993	0.19527541402958837	1.333e-05	1.333e-05	67200	67200
11	1.56607437	1.62076902	-0.05469465000000007	-0.03374611022611974	10.625	14.53076172	-3.905761719999999	-0.26879263422399574	1.467e-05	1.467e-05	39476	39476
12	1.5691328	1.56233835	0.006794449999999896	0.0043488979195831015	199.0	8.68418121	190.31581879	21.915228872797783	1.6e-05	1.6e-05	59876	59876
13	1.5362339	1.46458244	0.07165146	0.048922790580501564	75.5	6.256814	69.243186	11.066844243731712	1.733e-05	1.733e-05	58481	58481
14	1.50008583	1.34105778	0.15902804999999987	0.1185840404281461	19.75	28.1791954	-8.429195400000001	-0.29912832074687273	1.867e-05	1.867e-05	30234	30234
15	1.41978073	1.28346062	0.13632011	0.10621292767050382	262.0	5.18581867	256.81418133	49.52239900243176	2e-05	2e-05	52817	52817
16	1.49724197	1.37787437	0.11936759999999991	0.086631700682552	154.0	5.45783424	148.54216576	27.216320472202536	1.992e-05	2e-05	20663	20663
17	1.48590469	1.3480525	0.13785218999999982	0.10226025321714088	14.875	4.21213388	10.66286612	2.531464199328821	1.969e-05	2e-05	62863	62863
18	1.44973755	1.35613251	0.09360504000000014	0.0690235204227942	41.25	3.83783865	37.41216135	9.748237162080796	1.93e-05	1.999e-05	37594	37594
19	1.57222557	1.47541285	0.09681271999999996	0.0656173761805043	80.5	17.51921844	62.98078156	3.59495383744984	1.876e-05	1.999e-05	44143	44143
20	1.5045681	1.41303205	0.09153604999999998	0.06477988238129488	13.25	3.31063557	9.93936443	3.0022526550694915	1.809e-05	1.998e-05	54001	54001
21	1.42150879	1.31683636	0.10467243000000015	0.07948780363263978	4.53125	4.49000168	0.04124832000000023	0.009186704803192908	1.729e-05	1.998e-05	35412	35412
22	1.27511215	1.19665051	0.07846164	0.06556771533904247	9.8125	7.683146	2.129354	0.27714610655583016	1.637e-05	1.997e-05	36246	36246
23	1.44522476	1.37360001	0.07162475000000001	0.05214381878171361	7.09375	5.94808769	1.1456623099999996	0.19261019166312923	1.536e-05	1.996e-05	43318	43318
24	1.30939865	1.24372864	0.06567001000000006	0.05280091483621383	12.8125	17.09291267	-4.2804126700000005	-0.25042032055265867	1.426e-05	1.995e-05	62947	62947
25	1.47701645	1.40783882	0.06917762999999999	0.049137464471962766	15.4375	9.86078453	5.57671547	0.56554480559165	1.309e-05	1.994e-05	86358	86358
26	1.28358459	1.22162724	0.06195735000000013	0.05071706652513752	2.859375	6.80848694	-3.94911194	-0.5800278350831353	1.187e-05	1.992e-05	35900	35900
27	1.31999397	1.24427605	0.07571792	0.060852991584946114	40.75	9.05325794	31.69674206	3.5011420496431804	1.063e-05	1.991e-05	55389	55389
28	1.28295326	1.21537805	0.06757521	0.05560015667552989	3.015625	6.1642251	-3.1486001000000003	-0.5107860353769366	9.37e-06	1.989e-05	54815	54815
29	1.35244942	1.27944183	0.07300759000000001	0.057062062759039245	4.21875	6.6708312	-2.4520812000000003	-0.3675825585273392	8.13e-06	1.988e-05	67681	67681
30	1.36143875	1.29690695	0.06453180000000014	0.04975823438990758	5.21875	48.17294312	-42.95419312	-0.8916663657646998	6.91e-06	1.986e-05	36269	36269
31	1.41432047	1.35126173	0.06305874	0.04666656251709282	2.828125	5.17275524	-2.34463024	-0.45326525830361925	5.74e-06	1.984e-05	32066	32066
32	1.31352997	1.2462244	0.06730557000000004	0.05400758482982682	2.625	26.07061958	-23.44561958	-0.899311944162088	4.64e-06	1.982e-05	31464	31464
33	1.39267969	1.31250167	0.08017801999999996	0.0610879375109671	48.25	20.6859417	27.5640583	1.3325019812851933	3.63e-06	1.98e-05	53310	53310
34	1.32819414	1.26147509	0.06671904999999989	0.05288970866638349	406.0	18.75597954	387.24402046	20.646430096287045	2.71e-06	1.977e-05	64590	64590
