step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	41.0	1.90203857	286.0	75.91	0.6436721	3.33e-06	22425	273.5	40.989263
2	70.0	2.17041779	66.0	75.91	0.58843278	6.67e-06	16073	228.1	35.237971
3	100.0	1.98710632	89.5	76.32	0.59939043	1e-05	49983	746.6	33.472684
4	130.0	1.96289062	36.75	76.32	0.61307436	9.97e-06	24583	379.2	32.417538
5	157.0	1.30084991	17.5	76.32	0.70134039	9.87e-06	8194	130.5	31.387471
6	186.0	1.52638245	17.5	76.32	0.63464016	9.7e-06	17545	282.6	31.04045
7	215.0	1.78422546	13.8125	76.32	0.59721909	9.47e-06	16503	269.0	30.679649
8	242.0	1.62582397	12.25	76.32	0.61317644	9.18e-06	15850	261.8	30.265928
9	271.0	1.5045166	8.3125	76.41	0.625758	8.83e-06	36932	612.8	30.134579
10	304.0	1.63265991	12.25	76.41	0.60866029	8.43e-06	29370	483.5	30.37501
11	335.0	1.41917419	38.0	76.62	0.64523268	7.99e-06	28555	468.5	30.476324
12	365.0	1.25028992	27.75	76.62	0.67345109	7.5e-06	15904	261.7	30.385519
13	394.0	1.39644623	11.0	76.62	0.64453575	6.98e-06	17101	282.0	30.31697
14	422.0	1.49662018	7.125	76.62	0.63258971	6.43e-06	17122	284.3	30.11651
15	454.0	1.30395508	7.375	76.62	0.66574278	5.87e-06	18806	310.5	30.287705
16	484.0	1.17636108	6.875	76.62	0.69635527	5.29e-06	9295	153.7	30.246537
17	515.0	1.43669128	6.75	76.62	0.63711456	4.71e-06	34719	573.6	30.266111
18	547.0	1.45325851	12.75	76.62	0.6369266	4.13e-06	31868	524.8	30.361397
19	578.0	1.31944275	8.5	76.62	0.66079313	3.57e-06	48179	791.2	30.445576
20	609.0	1.53726196	11.125	76.62	0.61801379	3.02e-06	19021	312.4	30.443364
21	640.0	1.47459221	17.875	76.62	0.62279371	2.5e-06	24582	403.2	30.486399
22	668.0	1.51890564	14.5625	76.62	0.62860067	2.01e-06	14894	245.1	30.381422
23	699.0	1.62298584	4.25	76.62	0.60945869	1.57e-06	30547	502.6	30.386808
24	728.0	1.38028717	16.875	76.62	0.64435394	1.17e-06	29329	483.4	30.335812
25	759.0	1.347435	4.6875	76.62	0.64947084	8.2e-07	27029	445.4	30.342841
26	790.0	1.53977966	4.34375	76.62	0.62205528	5.3e-07	31452	517.5	30.390018
27	822.0	1.21134186	9.8125	76.62	0.68799436	3e-07	17603	289.2	30.432489
28	856.0	1.47569275	4.78125	76.62	0.6280379	1.3e-07	12631	206.6	30.562605
29	888.0	1.33784485	15.9375	76.62	0.65141571	3e-08	33796	551.7	30.626959
30	918.0	1.21391296	29.625	76.62	0.68542953	0.0	19021	310.9	30.591083
30	918.0	None	None	76.62	None	None	19021	310.9	30.594202
