step	elapsed_s	loss	grad_norm	mem_gib	token_acc	lr	tokens_this_step	tokens_per_gpu_per_sec	train_speed_s_per_it
1	55.0	2.03022385	152.0	75.91	0.61757106	3.33e-06	38498	347.1	55.45873
2	99.0	2.0351181	44.75	76.38	0.60174446	6.67e-06	74566	757.0	49.253864
3	141.0	1.74206924	35.25	76.6	0.64782768	1e-05	25739	274.7	46.847167
4	181.0	2.19902039	300.0	76.6	0.58149681	9.97e-06	32353	358.2	45.164103
5	226.0	1.8318634	572.0	76.62	0.60018483	9.87e-06	66302	731.9	45.291898
6	272.0	1.52692413	60.25	76.62	0.64505681	9.7e-06	44459	490.5	45.31738
7	313.0	1.56160355	199.0	76.62	0.62584772	9.47e-06	34223	383.0	44.677639
8	359.0	1.34783173	10.5	76.62	0.67006132	9.18e-06	28101	313.5	44.814871
9	403.0	1.54320145	16.875	76.62	0.6296835	8.83e-06	66587	742.8	44.82178
10	450.0	1.50676727	7.65625	76.62	0.63289017	8.43e-06	67200	746.4	45.01619
11	494.0	1.55534935	8.625	76.62	0.62080071	7.99e-06	39476	439.2	44.945039
12	540.0	1.56904888	8.6875	76.62	0.62099575	7.5e-06	59876	665.3	44.996466
13	587.0	1.49199677	26.75	76.62	0.63212249	6.98e-06	58481	647.5	45.160962
14	636.0	1.4140625	38.5	76.62	0.64945752	6.43e-06	30234	332.7	45.441688
15	682.0	1.34377289	32.75	76.62	0.65817584	5.87e-06	52817	581.2	45.439105
16	722.0	1.48493195	5.09375	76.62	0.64704821	5.29e-06	20663	229.0	45.124422
17	769.0	1.44718742	24.25	76.62	0.63423845	4.71e-06	62863	695.1	45.221713
18	812.0	1.43611145	17.875	76.62	0.64822376	4.13e-06	37594	416.5	45.130855
19	855.0	1.58713341	5.3125	76.62	0.62322087	3.57e-06	44143	490.7	44.976561
20	903.0	1.5195446	20.625	76.62	0.61975581	3.02e-06	54001	598.2	45.133677
21	942.0	1.46097374	19.875	76.62	0.64672096	2.5e-06	35412	394.5	44.878074
22	988.0	1.31874084	132.0	76.62	0.66256311	2.01e-06	36246	403.4	44.921884
23	1036.0	1.50370789	31.375	76.62	0.62479101	1.57e-06	43318	481.0	45.03032
24	1087.0	1.36317444	6.6875	76.62	0.65427402	1.17e-06	62947	694.9	45.293398
25	1141.0	1.54216194	9.0625	76.62	0.62229656	8.2e-07	86358	946.3	45.627862
26	1185.0	1.35527325	8.9375	76.62	0.65090794	5.3e-07	35900	393.9	45.575469
27	1226.0	1.39957809	5.0	76.62	0.65841845	3e-07	55389	609.8	45.412379
28	1274.0	1.35290837	26.375	76.62	0.65767717	1.3e-07	54815	602.3	45.503167
29	1321.0	1.42752075	6.1875	76.62	0.64795543	3e-08	67681	742.8	45.560783
30	1366.0	1.44631958	27.875	76.62	0.63939876	0.0	36269	398.3	45.526725
30	1366.0	None	None	76.62	None	None	36269	398.3	45.530101
